_rowid,chore,freq_id,challenge_level,notes
1,Sweep downstairs,5,1,
2,Sweep gym and upstairs including stairs,5,1,
3,Vaccuum rugs,5,1,
4,Take out trash,1,1,
5,Put trash out for pick up,5,1,
6,Take trash our of Grogg,5,1,
7,Wipe down counters,2,1,
8,Wipe down kitchen sink,5,1,
9,Wipe down stove,2,1,
10,Wipe down tables,4,1,
11,Dishwasher 2x week,4,2,
12,Dishwasher 5x week,3,2,
13,Handwash dishes,2,1,
14,Feed downstairs cats,2,1,
15,Feed upstairs cats,2,1,
16,Fill cat water,3,1,
17,Clean cat trees,7,1,
18,Product resupply,5,1,"(make sure we have it, also ordering)"
19,Cookin pan maintenence,2,1,
20,Clean Trash can,6,1,
21,Wipe down mirror in bedroom,5,1,
22,Scoop poop,4,1,
23,Pee pads,5,1,
24,Pellets,7,1,
25,Clear shared surfaces,4,2,
26,Clean our fridge and freezer,5,2,
27,Window frames downstairs + gym + cam's room,7,2,
28,window panes downstairs + gym + cam's room,9,2,
29,window sills downstairs + gym + cam's room,6,2,
30,Window frames upstairs - gym - cam's room,7,2,
31,window panes upstairs - gym - cam's room,9,2,
32,window sills upstairs - gym - cam's room,6,2,
33,wipe down doors and doorways upstairs  - gym - cam's room,9,2,
34,wipe down doors and doorways downstairs  + gym + cam's room,9,2,
35,Deep clean grogg,7,2,
36,Deep clean cat pans,7,2,
37,hand towels washed,4,2,
38,wash bed sheets and blankets,6,2,
39,wash living room blankets,9,2,
40,upstairs bathroom,7,2,"(including the walls of the shower itself), sink, toilet, mirror"
41,downstairs bathroom,7,2,"(including the walls of the shower itself), sink, toilet, mirror"
42,mop downstairs - gym - cam's room,6,2,
43,mop upstairs + gym + cam's room,6,2,
44,baseboards downstairs - gym - cam's room,9,2,
45,baseboards upstairs + gym + cam's room,9,2,
46,Dusting downstairs - gym - cam's room,6,2,"wet wipes/damp paper towels, wipe down all surfaces that aren't tables or window sills, trinkets, books, chairs, bedside tables, table that has guest stuff in it"
47,Dusting upstairs + gym + cam's room,6,2,"wet wipes/damp paper towels, wipe down all surfaces that aren't tables or window sills, trinkets, books, chairs, bedside tables, table that has guest stuff in it"
48,Grogg to car wash winter,6,2,
49,Grogg to car wash 3 seasons,7,2,
50,Wipe down walls upstairs  + gym + cam's room,9,2,
51,Wipe down walls downstairs  - gym - cam's room,9,2,
52,Guest bed sheets,1,2,
53,Wipe down light fixtures upstairs + gym + cam's room,8,2,includes light stands
54,Wipe down light fixtures downstairs - gym - cam's room,8,2,includes light stands
55,Cooking meals 5x week,3,3,
56,Shopping for meals,6,3,
57,Planning meals 5x week,6,3,
58,Coffee / Breakfast,2,3,
59,Wipe down appliances,7,3,
60,Grogg for oil change and tire rotation,9,2,
61,Clean interior of fridge,7,2,
62,Clean coffee grinder,12,2,
63,Sharpen knives,7,1,
64,Wash couch cushion covers,9,2,
65,Clean and organize garage,9,3,
66,Clean and organize basement,9,3,
67,Pull out large appliances and clean,9,1,
68,Clear out downstairs fridge/freezer,9,2,
69,Wipe down downstairs fridge/freezer,9,1,
70,Cleaning kitchen cabinet doors,8,2,
71,Wipe kitchen cabinet shelves,9,3,
72,Carpet clean rugs,10,3,
73,Managing hard conversations,1,3,
74,Manage reconnect after hard conversations,1,3,
75,Schedule events with people and manage calendar ,1,2,
76,Check for home maintenance needs outside of usual scope,9,1,
77,Organize&clear out kitchen shelves,7,2,
78,Plan Wed date night a,6,2,
79,Plan Wed date night b,6,2,
80,"Annual services for things around house: boiler, water heater",11,2,
81,"Emergency winter/bad weather supplies, generator working",9,2,
82,Clear dryer vent and cabinet,11,2,
83,Double bleach washer,9,2,
84,Clean AC filters,11,3,
85,Re evaluate systems,9,3,
86,Weed whacking,5,3,
87,Mowing/shoveling,5,2,
88,Cooking meals 2x week,4,2,
89,Planning meals 2x week,6,2,
90,Poison purchase and application,1,3,
